THREAD_STACK_OBSERVATIONS 323
5 BLOCKED org.kanger.test.KangerTest$5.run
5 RUNNABLE java.lang.String.valueOf
5 RUNNABLE java.lang.StringBuilder.append
5 RUNNABLE java.util.HashMap.containsKey
5 RUNNABLE java.util.HashMap.resize
5 RUNNABLE java.util.HashSet.contains
5 RUNNABLE org.kanger.Linker.markExcluded
5 RUNNABLE org.kanger.PortableMindLayer.capture
5 RUNNABLE org.kanger.storage.Escalera.ensureIndex
5 RUNNABLE org.kanger.units.Rule.isDeleted
4 RUNNABLE java.text.SimpleDateFormat.<init>
4 RUNNABLE org.kanger.Linker$5.run
4 RUNNABLE org.kanger.Linker.access$4
4 RUNNABLE org.kanger.Linker.rotationAllowed
4 RUNNABLE org.kanger.factory.RuleFactory.add
4 RUNNABLE org.kanger.factory.RuleFactory.collectDomainIds
4 RUNNABLE org.kanger.factory.RuleFactory.effectiveView
4 RUNNABLE org.kanger.factory.RuleFactory.isPromoted
4 RUNNABLE org.kanger.primitives.Cause.hashCode
4 RUNNABLE org.kanger.primitives.Solve.hashCode
4 RUNNABLE org.kanger.units.Domain.setProduced
3 RUNNABLE java.util.HashMap$HashIterator.<init>
3 RUNNABLE java.util.HashMap$HashIterator.nextNode
3 RUNNABLE java.util.HashMap$KeyIterator.<init>
3 RUNNABLE java.util.HashMap$KeyIterator.next
3 RUNNABLE java.util.HashMap$KeySet.iterator
3 RUNNABLE java.util.HashSet.iterator
3 RUNNABLE java.util.TreeMap$KeySet.iterator
3 RUNNABLE java.util.TreeSet.iterator
3 RUNNABLE org.kanger.Mind.convertExternals
3 RUNNABLE org.kanger.factory.RuleFactory.access$1
3 RUNNABLE org.kanger.factory.RuleFactory.commit
3 RUNNABLE org.kanger.primitives.ArgumentsList.getStamp
3 RUNNABLE org.kanger.units.Domain.isProduced
3 RUNNABLE org.kanger.units.Domain.toString
3 RUNNABLE org.kanger.units.Rule.toString
3 RUNNABLE sun.util.locale.provider.LocaleResources.getDateTimePattern
2 RUNNABLE java.lang.String.format
2 RUNNABLE java.util.Formatter.format
2 RUNNABLE java.util.HashSet.<init>
2 RUNNABLE java.util.LinkedHashMap$LinkedHashIterator.remove
2 RUNNABLE java.util.concurrent.ConcurrentHashMap.get
2 RUNNABLE org.kanger.factory.TValueFactory.collectIds
